,APP14:APP14Flags0,APP14:APP14Flags1,APP14:ColorTransform,APP14:DCTEncodeVersion,Composite:ImageSize,Composite:Megapixels,Ducky:Quality,ExifTool:ExifToolVersion,File:BitsPerSample,File:ColorComponents,File:Comment,File:Directory,File:EncodingProcess,File:ExifByteOrder,File:FileAccessDate,File:FileCreateDate,File:FileModifyDate,File:FileName,File:FilePermissions,File:FileSize,File:FileType,File:FileTypeExtension,File:ImageHeight,File:ImageWidth,File:MIMEType,File:YCbCrSubSampling,GIF:AnimationIterations,GIF:BackgroundColor,GIF:BitsPerPixel,GIF:ColorResolutionDepth,GIF:Duration,GIF:FrameCount,GIF:GIFVersion,GIF:HasColorMap,GIF:ImageHeight,GIF:ImageWidth,ICC_Profile:BlueMatrixColumn,ICC_Profile:BlueTRC,ICC_Profile:CMMFlags,ICC_Profile:ChromaticAdaptation,ICC_Profile:ColorSpaceData,ICC_Profile:ConnectionSpaceIlluminant,ICC_Profile:DeviceAttributes,ICC_Profile:DeviceManufacturer,ICC_Profile:DeviceMfgDesc,ICC_Profile:DeviceModel,ICC_Profile:DeviceModelDesc,ICC_Profile:GreenMatrixColumn,ICC_Profile:GreenTRC,ICC_Profile:Luminance,ICC_Profile:MakeAndModel,ICC_Profile:MeasurementBacking,ICC_Profile:MeasurementFlare,ICC_Profile:MeasurementGeometry,ICC_Profile:MeasurementIlluminant,ICC_Profile:MeasurementObserver,ICC_Profile:MediaBlackPoint,ICC_Profile:MediaWhitePoint,ICC_Profile:NativeDisplayInfo,ICC_Profile:PrimaryPlatform,ICC_Profile:ProfileCMMType,ICC_Profile:ProfileClass,ICC_Profile:ProfileConnectionSpace,ICC_Profile:ProfileCopyright,ICC_Profile:ProfileCreator,ICC_Profile:ProfileDateTime,ICC_Profile:ProfileDescription,ICC_Profile:ProfileDescriptionML,ICC_Profile:ProfileDescriptionML-cs-CZ,ICC_Profile:ProfileDescriptionML-da-DK,ICC_Profile:ProfileDescriptionML-de-DE,ICC_Profile:ProfileDescriptionML-es-ES,ICC_Profile:ProfileDescriptionML-fi-FI,ICC_Profile:ProfileDescriptionML-fr-FR,ICC_Profile:ProfileDescriptionML-hu-HU,ICC_Profile:ProfileDescriptionML-it-IT,ICC_Profile:ProfileDescriptionML-ja-JP,ICC_Profile:ProfileDescriptionML-ko-KR,ICC_Profile:ProfileDescriptionML-nb-NO,ICC_Profile:ProfileDescriptionML-nl-NL,ICC_Profile:ProfileDescriptionML-pl-PL,ICC_Profile:ProfileDescriptionML-pt-BR,ICC_Profile:ProfileDescriptionML-pt-PT,ICC_Profile:ProfileDescriptionML-ru-RU,ICC_Profile:ProfileDescriptionML-sv-SE,ICC_Profile:ProfileDescriptionML-tr-TR,ICC_Profile:ProfileDescriptionML-zh-CN,ICC_Profile:ProfileDescriptionML-zh-TW,ICC_Profile:ProfileFileSignature,ICC_Profile:ProfileID,ICC_Profile:ProfileVersion,ICC_Profile:RedMatrixColumn,ICC_Profile:RedTRC,ICC_Profile:RenderingIntent,ICC_Profile:Technology,ICC_Profile:VideoCardGamma,ICC_Profile:ViewingCondDesc,ICC_Profile:ViewingCondIlluminant,ICC_Profile:ViewingCondIlluminantType,ICC_Profile:ViewingCondSurround,ImageHash,JFIF:JFIFVersion,JFIF:ResolutionUnit,JFIF:XResolution,JFIF:YResolution,PNG:BackgroundColor,PNG:BitDepth,PNG:BlueX,PNG:BlueY,PNG:ColorType,PNG:Compression,PNG:Filter,PNG:Gamma,PNG:GreenX,PNG:GreenY,PNG:ImageHeight,PNG:ImageWidth,PNG:Interlace,PNG:ModifyDate,PNG:PixelUnits,PNG:PixelsPerUnitX,PNG:PixelsPerUnitY,PNG:ProfileName,PNG:RedX,PNG:RedY,PNG:WhitePointX,PNG:WhitePointY,SourceFile,XMP:CreatorTool,XMP:DerivedFromDocumentID,XMP:DerivedFromInstanceID,XMP:DocumentID,XMP:InstanceID,XMP:XMPToolkit
0,,,,,251x201,0.05,,10.63,8.0,3.0,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,"Baseline DCT, Huffman coding",,2018:07:10 04:26:01+08:00,2018:07:10 04:26:01+08:00,2018:07:10 04:26:01+08:00,6e40d61e9367e105f403ac976af2749f1a9b18d1-st.jpg,rw-rw-rw-,4.4 kB,JPEG,jpg,201.0,251.0,image/jpeg,YCbCr4:2:0 (2 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e40d61e9367e105f403ac976af2749f1a9b18d1,1.01,None,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/6e40d61e9367e105f403ac976af2749f1a9b18d1-st.jpg,,,,,,
1,,,,,800x426,0.341,,10.63,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,,,2018:07:10 04:26:18+08:00,2018:07:10 04:26:18+08:00,2018:07:10 04:26:18+08:00,cd644b6f5c219d4a942c14eae46684b3da58c501-itswhatyouknow_itsnotamystery_mostofyouhavefoundit.png,rw-rw-rw-,74 kB,PNG,png,,,image/png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd644b6f5c219d4a942c14eae46684b3da58c501,,,,,255 255 255,8.0,,,RGB with Alpha,Deflate/Inflate,Adaptive,,,,426.0,800.0,Noninterlaced,2008:06:27 11:35:59,,,,,,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/cd644b6f5c219d4a942c14eae46684b3da58c501-itswhatyouknow_itsnotamystery_mostofyouhavefoundit.png,,,,,,
2,,,,,390x243,0.095,,10.63,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,,,2018:07:10 04:27:12+08:00,2018:07:10 04:27:12+08:00,2018:07:10 04:27:12+08:00,4206f42d811e5c1a95912a9a946526a3ae2dac25-qst.png,rw-rw-rw-,105 kB,PNG,png,,,image/png,,,,,,,,,,,,0.14996 0.1077 0.6644,"(Binary data 2060 bytes, use -b option to extract)","Not Embedded, Independent",1.04788 0.02292 -0.0502 0.02957 0.99049 -0.01706 -0.00923 0.01508 0.75165,RGB ,0.9642 1 0.82491,"Reflective, Glossy, Positive, Color",,,,,0.42497 0.66701 0.13098,"(Binary data 2060 bytes, use -b option to extract)",,"(Binary data 40 bytes, use -b option to extract)",,,,,,,0.95047 1 1.0891,"(Binary data 1598 bytes, use -b option to extract)",Apple Computer Inc.,appl,Display Device Profile,XYZ ,"Copyright Apple, Inc., 2011",appl,2011:06:25 19:35:09,Display,Color LCD,,LCD-farveskærm,Farb-LCD,LCD color,Väri-LCD,LCD couleur,,LCD colori,カラー LCD,컬러 LCD,Farge-LCD,Kleuren-LCD,Kolor LCD,LCD Colorido,LCD a Cores,Цветной ЖК-дисплей,Färg-LCD,,彩色 LCD,彩色液晶顯示器,acsp,0.0,2.1.0,0.38927 0.2253 0.02953,"(Binary data 2060 bytes, use -b option to extract)",Perceptual,,"(Binary data 1554 bytes, use -b option to extract)",,,,,4206f42d811e5c1a95912a9a946526a3ae2dac25,,,,,,8.0,,,RGB,Deflate/Inflate,Adaptive,,,,243.0,390.0,Noninterlaced,,meters,2835.0,2835.0,ICC Profile,,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/4206f42d811e5c1a95912a9a946526a3ae2dac25-qst.png,,,,,,
3,,,,,400x338,0.135,,10.63,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,,,2018:07:10 04:27:25+08:00,2018:07:10 04:27:25+08:00,2018:07:10 04:27:25+08:00,5e0938e5c265d95866396ced4590d719cc938fa6-0light.png,rw-rw-rw-,49 kB,PNG,png,,,image/png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e0938e5c265d95866396ced4590d719cc938fa6,,,,,,8.0,0.15,0.05999,RGB,Deflate/Inflate,Adaptive,,0.30000000000000004,0.6000000000000001,338.0,400.0,Noninterlaced,,meters,2835.0,2835.0,,0.6399900000000001,0.33001,0.31269,0.32899,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/5e0938e5c265d95866396ced4590d719cc938fa6-0light.png,,,,,,
4,,,,,800x426,0.341,,10.63,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,,,2018:07:10 04:27:43+08:00,2018:07:10 04:27:43+08:00,2018:07:10 04:27:43+08:00,d1a745487d287f147c1dcae61269eaa7b4807eb8-itswhatyouknow_itsnotamystery_mostofyouhavefoundit.png,rw-rw-rw-,75 kB,PNG,png,,,image/png,,,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)","Not Embedded, Independent",,RGB ,0.9642 1 0.82491,"Reflective, Glossy, Positive, Color",IEC ,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",76.03647 80 87.12462,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,Microsoft Corporation,Lino,Display Device Profile,XYZ ,Copyright (c) 1998 Hewlett-Packard Company,HP  ,1998:02:09 06:49:00,sRGB IEC61966-2.1,,,,,,,,,,,,,,,,,,,,,,acsp,0.0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",Media-Relative Colorimetric,Cathode Ray Tube Display,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,d1a745487d287f147c1dcae61269eaa7b4807eb8,,,,,,8.0,0.15,0.05999,RGB with Alpha,Deflate/Inflate,Adaptive,,0.30000000000000004,0.6000000000000001,426.0,800.0,Noninterlaced,,meters,2835.0,2835.0,Photoshop ICC profile,0.6399900000000001,0.33001,0.31269,0.32899,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/d1a745487d287f147c1dcae61269eaa7b4807eb8-itswhatyouknow_itsnotamystery_mostofyouhavefoundit.png,,,,,,
5,,,,,302x287,0.08700000000000001,,10.63,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,,,2018:07:10 04:28:18+08:00,2018:07:10 04:28:18+08:00,2018:07:10 04:28:18+08:00,83558b2b7c1098148c1fe37a032bc41cb3c80b1f-0.png,rw-rw-rw-,31 kB,PNG,png,,,image/png,,,,,,,,,,,,0.14996 0.1077 0.6644,"(Binary data 2060 bytes, use -b option to extract)","Not Embedded, Independent",1.04788 0.02292 -0.0502 0.02957 0.99049 -0.01706 -0.00923 0.01508 0.75165,RGB ,0.9642 1 0.82491,"Reflective, Glossy, Positive, Color",,,,,0.42497 0.66701 0.13098,"(Binary data 2060 bytes, use -b option to extract)",,"(Binary data 40 bytes, use -b option to extract)",,,,,,,0.95047 1 1.0891,"(Binary data 1598 bytes, use -b option to extract)",Apple Computer Inc.,appl,Display Device Profile,XYZ ,"Copyright Apple, Inc., 2011",appl,2011:06:25 19:35:09,Display,Color LCD,,LCD-farveskærm,Farb-LCD,LCD color,Väri-LCD,LCD couleur,,LCD colori,カラー LCD,컬러 LCD,Farge-LCD,Kleuren-LCD,Kolor LCD,LCD Colorido,LCD a Cores,Цветной ЖК-дисплей,Färg-LCD,,彩色 LCD,彩色液晶顯示器,acsp,0.0,2.1.0,0.38927 0.2253 0.02953,"(Binary data 2060 bytes, use -b option to extract)",Perceptual,,"(Binary data 1554 bytes, use -b option to extract)",,,,,83558b2b7c1098148c1fe37a032bc41cb3c80b1f,,,,,,8.0,0.13090000000000002,0.08288000000000001,RGB,Deflate/Inflate,Adaptive,,0.30856,0.5187,287.0,302.0,Noninterlaced,,meters,2835.0,2835.0,Photoshop ICC profile,0.5745600000000001,0.34338,0.28056000000000003,0.29582,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/83558b2b7c1098148c1fe37a032bc41cb3c80b1f-0.png,,,,,,
6,,,,,120x120,0.014,,10.63,,,,C:/Users/Denis/PycharmProjects/untitled1/waybackimages,,,2018:07:10 04:28:32+08:00,2018:07:10 04:28:32+08:00,2018:07:10 04:28:32+08:00,9614289b57390ed72eb90ed35e5eace8c178446e-st2.jpg,rw-rw-rw-,11 kB,PNG,png,,,image/png,,,,,,,,,,,,0.14307 0.06061 0.7141,"(Binary data 2060 bytes, use -b option to extract)","Not Embedded, Independent",,RGB ,0.9642 1 0.82491,"Reflective, Glossy, Positive, Color",IEC ,IEC http://www.iec.ch,sRGB,IEC 61966-2.1 Default RGB colour space - sRGB,0.38515 0.71687 0.09708,"(Binary data 2060 bytes, use -b option to extract)",76.03647 80 87.12462,,0 0 0,0.999%,Unknown,D65,CIE 1931,0 0 0,0.95045 1 1.08905,,Microsoft Corporation,Lino,Display Device Profile,XYZ ,Copyright (c) 1998 Hewlett-Packard Company,HP  ,1998:02:09 06:49:00,sRGB IEC61966-2.1,,,,,,,,,,,,,,,,,,,,,,acsp,0.0,2.1.0,0.43607 0.22249 0.01392,"(Binary data 2060 bytes, use -b option to extract)",Media-Relative Colorimetric,Cathode Ray Tube Display,,Reference Viewing Condition in IEC61966-2.1,19.6445 20.3718 16.8089,D50,3.92889 4.07439 3.36179,9614289b57390ed72eb90ed35e5eace8c178446e,,,,,,8.0,0.15,0.05999,RGB with Alpha,Deflate/Inflate,Adaptive,2.2,0.30000000000000004,0.6000000000000001,120.0,120.0,Noninterlaced,,meters,2835.0,2835.0,Photoshop ICC profile,0.6399900000000001,0.33001,0.31269,0.32899,C:/Users/Denis/PycharmProjects/untitled1/waybackimages/9614289b57390ed72eb90ed35e5eace8c178446e-st2.jpg,,,,,,
